Participant Code,Amptitude,Condition Code,Hand Dominance,Mean Completion Time (ms),Mean Click Error (%),Mean Throughput (bps)
P1,400,C0,Dominant,847.8666667,0,4.862690908
P1,200,C1,Dominant,676.46,0,4.673052923
P1,400,C2,Non-Dominant,1127.46,0,3.802311483
P1,200,C3,Non-Dominant,1098.54,0,2.742102869
P2,400,C0,Dominant,693.3866667,0,5.502060946
P2,200,C1,Dominant,509.9866667,0,5.677388983
P2,400,C2,Non-Dominant,1267.986667,0,2.349893622
P2,200,C3,Non-Dominant,908.8866667,0,2.729284031
P3,400,C0,Dominant,967.96,0,3.220475342
P3,200,C1,Dominant,719.76,0,1.303466376
P3,400,C2,Non-Dominant,1323.626667,6.666666667,2.105347755
P3,200,C3,Non-Dominant,864.1133333,0,2.785138494
P4,400,C0,Dominant,798.8666667,6.666666667,4.103822417
P4,200,C1,Dominant,747.6666667,0,3.267337447
P4,400,C2,Non-Dominant,1333.333333,0,2.75431641
P4,200,C3,Non-Dominant,1107.8,0,2.225388414
